,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__regressor__penalty,param_estimator__regressor__alpha,param_estimator__regressor__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
,0.001901746,0.000300288,0.000600529,0.00049033,elasticnet,0.01,0.5,"{'estimator__regressor__alpha': 0.01, 'estimator__regressor__l1_ratio': 0.5, 'estimator__regressor__penalty': 'elasticnet'}",-937.9683395,-1890.422302,-153.3379339,-1262.262928,-260.7994977,-135.740284,-12262.40442,-26698.73037,-985.4695247,-1055.00124,-4515.405206,8102.177726,26
,0.002001786,2.49E-07,0.000799727,0.000399874,elasticnet,0.01,0.75,"{'estimator__regressor__alpha': 0.01, 'estimator__regressor__l1_ratio': 0.75, 'estimator__regressor__penalty': 'elasticnet'}",-938.078596,-1890.57773,-153.3509764,-1262.360516,-260.8153984,-135.8044385,-12262.61989,-26698.86408,-985.523159,-1055.024407,-4515.493285,8102.211928,27
,0.002003169,0.000451082,0.000601172,0.000490858,elasticnet,0.01,0.999,"{'estimator__regressor__alpha': 0.01, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'elasticnet'}",-938.1893129,-1890.733942,-153.3642226,-1262.458841,-260.8315826,-135.8688517,-12262.83664,-26698.99925,-985.5950271,-1055.04799,-4515.583749,8102.245729,28
,0.00190165,0.000297277,0.000502324,0.000502335,elasticnet,0.1,0.001,"{'estimator__regressor__alpha': 0.1, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'elasticnet'}",-939.3096431,-1891.969067,-153.6367144,-1263.635639,-261.1315889,-136.3608709,-12266.35406,-26702.73934,-986.5181795,-1055.529538,-4516.90244,8103.333153,31
,0.002001882,2.87E-07,0.000500369,0.000500369,elasticnet,0.1,0.25,"{'estimator__regressor__alpha': 0.1, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'elasticnet'}",-940.2684032,-1893.318199,-153.7523703,-1264.487081,-261.2759342,-136.9208689,-12268.27758,-26703.96163,-987.0339671,-1055.72903,-4517.684927,8103.648787,32
,0.001801753,0.000400496,0.000601363,0.000491017,elasticnet,0.1,0.5,"{'estimator__regressor__alpha': 0.1, 'estimator__regressor__l1_ratio': 0.5, 'estimator__regressor__penalty': 'elasticnet'}",-941.073344,-1894.693733,-153.8909365,-1265.439967,-261.4519458,-137.4274683,-12270.3929,-26705.36418,-987.7252045,-1055.973423,-4518.523391,8104.023703,33
,0.001901817,0.000300233,0.00060041,0.000490232,elasticnet,0.1,0.75,"{'estimator__regressor__alpha': 0.1, 'estimator__regressor__l1_ratio': 0.75, 'estimator__regressor__penalty': 'elasticnet'}",-941.7831131,-1895.128034,-153.9352974,-1265.735579,-261.4260766,-137.6352975,-12272.48537,-26706.4678,-987.8537266,-1055.932368,-4519.015549,8104.445631,34
,0.002001834,1.09E-07,0.000600505,0.00049031,elasticnet,0.1,0.999,"{'estimator__regressor__alpha': 0.1, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'elasticnet'}",-942.7527939,-1896.088697,-154.1156486,-1266.324689,-261.5730266,-138.0386588,-12275.83736,-26709.25248,-988.4669464,-1056.174842,-4520.033583,8105.340178,35
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,L1 Ratio,Elastic Net MSE,,,,,,,,,,,,,,
,,,,,,0.001,4515.241464,,,,,,,,,,,,,,
,,,,,,0.25,4515.321925,,,,,,,,,,,,,,
,,,,,,0.5,4515.405206,,,,,,,,,,,,,,
,,,,,,0.75,4515.493285,,,,,,,,,,,,,,
,,,,,,0.999,4515.583749,,,,,,,,,,,,,,
